filename,kind,url,zip_member,check_phrase,sha256,text_sha256,retrieved,status,doi_or_landing
maroto_molina_2020.pdf,binary_stamped,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/77A030621073F6601CC76F8A66487FAD/S002202992000045Xa.pdf/welfare_quality_for_dairy_cows_towards_a_sensorbased_assessment.pdf,,,645de8849a6b47a5b5923012ed6a2782ad56ec964953e1e20f60092ce6a7cf9f,bb59a433b1737a88cb77bfa5c527337d58e371156fbabb541e71b65892994d33,2026-09-16,ok,https://doi.org/10.1017/S002202992000045X
stygar_2021.pdf,binary,https://www.frontiersin.org/articles/10.3389/fvets.2021.634338/pdf,,,30d57d1c6a3951bb94825b1bb3bd14a9bb997be9c1ce8e8c5339da95b34ce739,,2026-09-16,ok,https://doi.org/10.3389/fvets.2021.634338
stygar_2021_supplementary.xlsx,binary,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC8044875/supplementaryFiles,Data_Sheet_1.xlsx,,7db18e0929d260fb7ac0759c5363d314a70d26a796f7e3830b51120632dd7656,,2026-09-16,ok,https://www.frontiersin.org/articles/10.3389/fvets.2021.634338/full#supplementary-material
gomez_2021.pdf,binary,https://www.frontiersin.org/articles/10.3389/fvets.2021.660565/pdf,,,a94190f907f7322fc08495fd962507b099fb7ac51cec424f39a1c5a5220fb2b0,,2026-09-16,ok,https://doi.org/10.3389/fvets.2021.660565
tuyttens_2022.pdf,binary,https://www.frontiersin.org/articles/10.3389/fvets.2022.889623/pdf,,,cc815c15e3c7ce4c9a18c1267d3af7d0568ed3146a0af60b766f04d3833d7821,,2026-09-16,ok,https://doi.org/10.3389/fvets.2022.889623
elliott_werkheiser_2023.pdf,binary,https://europepmc.org/articles/PMC10648797?pdf=render,,,9cb717f5a9485b19e00efa6ae0bede7fb84c8568fb30233e8ae4ba0fab7b4a77,,2026-09-16,ok,https://doi.org/10.3390/ani13213358
berckmans_2017_euplf_blueprint.pdf,binary,https://lirias.kuleuven.be/retrieve/4e5ae17e-cfa6-45a1-b2b4-f999ab921d25,,,a0b4aa6e288c5adebcc329c11e876c000008b07c354dffdca31bbe5495ac7b26,,2026-09-16,ok,https://doi.org/10.2527/af.2017.0103
rutten_2013.pdf,binary_stamped,https://dspace.library.uu.nl/server/api/core/bitstreams/a22c3f26-9223-414e-8136-ef6d9d832681/content,,,b498b8fd72ce0a69645154c06bb37200e65177dd8fed6ddfb5bf77823afd3a02,09afa74062f7c194621e401e547939812697b5d5bb7d345452b8ad6258a2d91e,2026-09-16,ok,https://doi.org/10.3168/jds.2012-6107
van_erp_rutter_2020.pdf,binary,https://doi.org/10.1079/PAVSNNR202015051,,,,,,missing,https://hau.repository.guildhe.ac.uk/id/eprint/17613/
coghlan_parker_2023.pdf,binary,https://link.springer.com/content/pdf/10.1007/s13347-023-00627-6.pdf,,,70e10f166878a3226154dcd8808c3cca132b5aef5808706a9c7e27c91182380a,,2026-09-16,ok,https://doi.org/10.1007/s13347-023-00627-6
efsa_2023_dairy_cows.pdf,binary,https://www.mapa.gob.es/dam/mapa/contenido/ganaderia/temas/produccion-y-mercados-ganaderos/bienestar-animal/en-la-granja/vacuno/efsa---welfare-of-dairy-cows.pdf,,,13368dcfd7fbe6ec916e7def2ed7cc1fa66d5788c770f2fd465ce2f617a64950,,2026-09-16,ok,https://doi.org/10.2903/j.efsa.2023.7993
welfare_quality_dairy.pdf,binary,https://www.welfarequalitynetwork.net/media/1319/dairy-cattle-protocol.pdf,,,49c9dc0749c954e2211d7ec7b369a78786f76da0dedd8baaaebf175367c64bc2,,2026-09-16,ok,https://www.welfarequalitynetwork.net/en-us/reports/assessment-protocols/
icar_validated_sensors.html,text,https://www.icar.org/icar-validated-sensor-systems/,,Panazoo,7a9a95159db32290a1ff311a8deac225a20c89ea0f8d54fed94e2f02910059ec,,2026-09-16,ok,https://www.icar.org/icar-validated-sensor-systems/
